,0
B_mediana,0.9008853089870622
B_quantil 001,0.8997355333534695
G_bucket 8,0.8998910413424797
R_quantil 090,0.8995084938276815
G_quantil 090,0.899825294334626
B_bucket 1,0.8998172623219595
G_bucket 1,0.9002693339541908
C_bucket 8,0.899498046899621
WVII,0.9002825470602063
R_bucket 1,0.8991160214074373
C_ptp,0.8987090217826628
G/B,0.8990157280694684
R_cv,0.8976852643416331
R_bucket 7,0.8984151455576815
G_entropia,0.8973123049651595
C_bucket 7,0.895611949811833
R_quantil 005,0.8932895861215921
C_bucket 1,0.8916706922447027
B_bucket 7,0.888526677994536
G_bucket 7,0.6367947542547702
